id;id_embedded;url;name;season;number;type;airdate;airtime;airstamp;runtime;rating_average;medium;original;_links_self;_links_show;summary
2447318;65716;https://www.tvmaze.com/episodes/2447318/double-love-1x06-episode-6;Episode 6;1;6.0;regular;2022-12-10;;2022-12-10T12:00:00+00:00;40.0;;;;https://api.tvmaze.com/episodes/2447318;https://api.tvmaze.com/shows/65716;
2448723;65740;https://www.tvmaze.com/episodes/2448723/samarthya-shastram-1x06-episode-6;Episode 6;1;6.0;regular;2022-12-10;;2022-12-10T12:00:00+00:00;48.0;;;;https://api.tvmaze.com/episodes/2448723;https://api.tvmaze.com/shows/65740;
2456362;66042;https://www.tvmaze.com/episodes/2456362/si-andy-si-lauren-o-si-peng-1x02-pengs-puberty;Peng's puberty;1;2.0;regular;2022-12-10;;2022-12-10T12:00:00+00:00;14.0;;;;https://api.tvmaze.com/episodes/2456362;https://api.tvmaze.com/shows/66042;<p>Temptation has come. Peng will be confused by his feelings. His blossoming has already begun.</p>
2458578;66105;https://www.tvmaze.com/episodes/2458578/lap-lanh-tua-anh-sao-troi-1x04-tap-4;Tập 4;1;4.0;regular;2022-12-10;;2022-12-10T12:00:00+00:00;22.0;;;;https://api.tvmaze.com/episodes/2458578;https://api.tvmaze.com/shows/66105;
2496709;67204;https://www.tvmaze.com/episodes/2496709/rizdvo-ta-malanka-1x02-irod-rizdvo-v-komarovomu;Ірод. Різдво в Комаровому;1;2.0;regular;2022-12-10;;2022-12-10T12:00:00+00:00;17.0;;;;https://api.tvmaze.com/episodes/2496709;https://api.tvmaze.com/shows/67204;
2577826;68144;https://www.tvmaze.com/episodes/2577826/yan-zhis-love-story-1x15-episode-15;Episode 15;1;15.0;regular;2022-12-10;;2022-12-10T12:00:00+00:00;15.0;;;;https://api.tvmaze.com/episodes/2577826;https://api.tvmaze.com/shows/68144;
2400618;62248;https://www.tvmaze.com/episodes/2400618/alchemy-of-souls-2x01-episode-1;Episode 1;2;1.0;regular;2022-12-10;21:15;2022-12-10T12:15:00+00:00;86.0;;https://static.tvmaze.com/uploads/images/medium_landscape/434/1085577.jpg;https://static.tvmaze.com/uploads/images/original_untouched/434/1085577.jpg;https://api.tvmaze.com/episodes/2400618;https://api.tvmaze.com/shows/62248;<p>A search leads Uk into Jinyowon, where he runs into a mysterious woman who is planning an escape. Meanwhile, haunting visions of the dead trouble him. </p>
2383897;63868;https://www.tvmaze.com/episodes/2383897/reborn-rich-1x10-episode-10;Episode 10;1;10.0;regular;2022-12-10;22:30;2022-12-10T13:30:00+00:00;74.0;;https://static.tvmaze.com/uploads/images/medium_landscape/434/1085543.jpg;https://static.tvmaze.com/uploads/images/original_untouched/434/1085543.jpg;https://api.tvmaze.com/episodes/2383897;https://api.tvmaze.com/shows/63868;<p>Chairman Jin initiates a plan to establish Soonyang Financial Holding Company to begin his succession process. He puts his trust in his second son, Dong Ki. Dong Ki tries to sabotage Do Joon by spreading a false rumor about Miracle Investment. However, Dong Ki only ends up disappointing Chairman Jin even more.</p>
2449195;33902;https://www.tvmaze.com/episodes/2449195/pop-team-epic-2x11-boomer-team-epic;Boomer Team Epic;2;11.0;regular;2022-12-10;01:00;2022-12-10T16:00:00+00:00;25.0;;;;https://api.tvmaze.com/episodes/2449195;https://api.tvmaze.com/shows/33902;
2412035;64321;https://www.tvmaze.com/episodes/2412035/bocchi-the-rock-1x10-after-dark;After Dark;1;10.0;regular;2022-12-10;01:30;2022-12-10T16:30:00+00:00;25.0;;;;https://api.tvmaze.com/episodes/2412035;https://api.tvmaze.com/shows/64321;
2442559;65201;https://www.tvmaze.com/episodes/2442559/makeover-by-monday-1x06-bachelor-office;Bachelor Office;1;6.0;regular;2022-12-10;;2022-12-10T17:00:00+00:00;24.0;;https://static.tvmaze.com/uploads/images/medium_landscape/438/1097373.jpg;https://static.tvmaze.com/uploads/images/original_untouched/438/1097373.jpg;https://api.tvmaze.com/episodes/2442559;https://api.tvmaze.com/shows/65201;<p>Jenni helps a Milwaukee bachelor turn his spare room into a cozy office.</p>
2483658;66730;https://www.tvmaze.com/episodes/2483658/harlem-globetrotters-play-it-forward-1x07-urban-farming;Urban Farming;1;7.0;regular;2022-12-10;;2022-12-10T17:00:00+00:00;20.0;;;;https://api.tvmaze.com/episodes/2483658;https://api.tvmaze.com/shows/66730;"<p>A young man's life is changed forever when he overcomes bullying with the Globetrotters' help; the Globetrotters learn valuable skills in food cultivation and healthy eating on the farm; Coach Lou puts a twist on a classic playground basketball game.</p>"
2420367;2266;https://www.tvmaze.com/episodes/2420367/wwe-nxt-s16-special-nxt-deadline;NXT Deadline;16;;significant_special;2022-12-10;20:00;2022-12-11T01:00:00+00:00;142.0;;;;https://api.tvmaze.com/episodes/2420367;https://api.tvmaze.com/shows/2266;
2442123;1505;https://www.tvmaze.com/episodes/2442123/one-piece-10x155-clutch-a-demon-incarnate-robin;Clutch! A Demon Incarnate, Robin!;10;155.0;regular;2022-12-11;09:30;2022-12-11T00:30:00+00:00;25.0;;https://static.tvmaze.com/uploads/images/medium_landscape/434/1086015.jpg;https://static.tvmaze.com/uploads/images/original_untouched/434/1086015.jpg;https://api.tvmaze.com/episodes/2442123;https://api.tvmaze.com/shows/1505;<p>After enduring Black Maria's physical and mental torture, Robin shows what she is truly capable of as a Demon Child.</p>
2400249;28359;https://www.tvmaze.com/episodes/2400249/battle-through-the-heavens-5x22-episode-22;Episode 22;5;22.0;regular;2022-12-11;10:00;2022-12-11T02:00:00+00:00;19.0;;;;https://api.tvmaze.com/episodes/2400249;https://api.tvmaze.com/shows/28359;
2417321;54033;https://www.tvmaze.com/episodes/2417321/wu-shen-zhu-zai-1x289-episode-289;Episode 289;1;289.0;regular;2022-12-11;10:00;2022-12-11T02:00:00+00:00;5.0;;;;https://api.tvmaze.com/episodes/2417321;https://api.tvmaze.com/shows/54033;
2545172;60152;https://www.tvmaze.com/episodes/2545172/i-annoyed-millions-of-cultivators-2x141-episode-141;Episode 141;2;141.0;regular;2022-12-11;10:00;2022-12-11T02:00:00+00:00;7.0;;;;https://api.tvmaze.com/episodes/2545172;https://api.tvmaze.com/shows/60152;
